timestamp,app_name,window_title,duration_seconds,is_productive
2025-04-07 21:40:15,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,5.01,True
2025-04-07 21:40:17,chrome.exe,Recent download history,2.02,True
2025-04-07 21:40:21,openwith.exe,,4.01,None
2025-04-07 21:40:22,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,1.01,True
2025-04-07 21:40:23,notepad.exe,Notepad,1.0,True
2025-04-07 21:40:26,notepad.exe,citation-357253924.ris - Notepad,3.01,True
2025-04-07 21:40:29,chrome.exe,Download citation of Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,3.02,True
2025-04-07 21:40:34,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,5.01,True
2025-04-07 21:41:30,chrome.exe,smart public bench methodology - Google Search - Google Chrome,56.05,True
2025-04-07 21:42:12,chrome.exe,Just a moment... - Google Chrome,42.04,True
2025-04-07 21:42:16,chrome.exe,(49) WhatsApp - Google Chrome,4.01,True
2025-04-07 21:42:27,chrome.exe,(48) WhatsApp - Google Chrome,11.01,True
2025-04-07 21:42:28,chrome.exe,(49) WhatsApp - Google Chrome,1.0,True
2025-04-07 21:43:30,chrome.exe,(48) WhatsApp - Google Chrome,62.05,True
2025-04-07 21:43:31,chrome.exe,localhost/dashborad/register.html - Google Chrome,1.01,True
2025-04-07 21:43:32,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,1.01,True
2025-04-07 21:43:59,chrome.exe,Smart Bench Report Guide - Google Chrome,27.02,True
2025-04-07 21:44:18,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,19.02,True
2025-04-07 21:44:19,chrome.exe,Smart Bench Report Guide - Google Chrome,1.01,True
2025-04-07 21:44:20,chrome.exe,(PDF) Design and implementation of a solar integration in electric smart bench - Google Chrome,1.01,True
2025-04-07 21:44:23,chrome.exe,smart public bench methodology - Google Search - Google Chrome,3.0,True
2025-04-07 21:44:46,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,23.02,True
2025-04-07 21:44:49,chrome.exe,Smart Bench Report Guide - Google Chrome,3.01,True
2025-04-07 21:44:50,chrome.exe,(49) WhatsApp - Google Chrome,1.01,True
2025-04-07 21:46:07,chrome.exe,(48) WhatsApp - Google Chrome,77.07,True
2025-04-07 21:46:10,chrome.exe,(49) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:12,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:46:13,chrome.exe,Untitled - Google Chrome,1.0,True
2025-04-07 21:46:30,chrome.exe,Just a moment... - Google Chrome,17.02,True
2025-04-07 21:46:31,chrome.exe,(48) WhatsApp - Google Chrome,1.02,True
2025-04-07 21:46:40,chrome.exe,Just a moment... - Google Chrome,9.02,True
2025-04-07 21:46:43,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:45,chrome.exe,Just a moment... - Google Chrome,2.0,True
2025-04-07 21:46:49,chrome.exe,(PDF) Design and Implementation of Smart Bench Integrated Solar Cell for Public Space Electricity Saving - Google Chrome,4.01,True
2025-04-07 21:46:50,chrome.exe,Just a moment... - Google Chrome,1.0,True
2025-04-07 21:46:52,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:46:54,chrome.exe,Just a moment... - Google Chrome,2.0,True
2025-04-07 21:46:57,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:46:59,chrome.exe,Smart Bench Report Guide - Google Chrome,2.01,True
2025-04-07 21:47:19,chrome.exe,Just a moment... - Google Chrome,20.02,True
2025-04-07 21:47:21,chrome.exe,(48) WhatsApp - Google Chrome,2.0,True
2025-04-07 21:47:29,chrome.exe,Just a moment... - Google Chrome,8.01,True
2025-04-07 21:47:32,chrome.exe,(48) WhatsApp - Google Chrome,3.01,True
2025-04-07 21:47:47,chrome.exe,Just a moment... - Google Chrome,15.02,True
2025-04-07 21:47:56,chrome.exe,(48) WhatsApp - Google Chrome,9.01,True
2025-04-07 21:47:57,explorer.exe,,1.01,None
2025-04-07 21:47:59,applicationframehost.exe,Microsoft Store,2.02,None
2025-04-07 21:48:13,explorer.exe,,13.16,None
2025-04-08 13:21:31,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,1.0,True
2025-04-08 13:22:16,python.exe,Productivity Tracker,45.06,None
2025-04-08 13:22:25,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,9.08,True
2025-04-08 13:22:47,code.exe,activity_log.csv - nocrastinator-py-main - Visual Studio Code,22.04,True
2025-04-08 13:22:48,code.exe,Untitled-1 - nocrastinator-py-main - Visual Studio Code,1.01,True
2025-04-08 13:22:50,code.exe,app.py - nocrastinator-py-main - Visual Studio Code,2.01,True
